adsh	tag	version	coreg	ddate	qtrs	uom	value	footnote
0001193125-09-088639	NetCashProvidedByUsedInInvestingActivities	us-gaap/2008		20090331	1	USD	-255013000.0000	
0001193125-09-111401	StockholdersEquity	us-gaap/2008		20090331	0	USD	3088000.0000	
0000891618-09-000166	LongTermDebtNoncurrent	us-gaap/2008		20090331	0	USD	10848000000.0000	
0001193125-09-088631	DerivativeLiabilitiesNoncurrent	us-gaap/2008		20090331	0	USD	0.0000	
0000092380-09-000018	NetCashProvidedByUsedInInvestingActivities	us-gaap/2008		20090331	1	USD	-638000000.0000	
0000277948-09-000066	CashAndCashEquivalentsPeriodIncreaseDecrease	us-gaap/2008		20090331	1	USD	387000000.0000	
0001193125-09-096522	Assets	us-gaap/2008		20081231	0	USD	5578300000.0000	
0000796343-09-000026	IncreaseDecreaseInAccruedIncomeTaxesPayable	us-gaap/2008		20080531	2	USD	23951000.0000	
0000038074-09-000029	LandAndBuildings	0000038074-09-000029		20080331	0	USD	309474000.0000	
0000950123-09-008550	EmployeeRelatedLiabilities	us-gaap/2008		20081231	0	USD	19181000.0000	
0000796343-09-000026	OtherIncreaseDecreaseInProvisionForRestructuring	us-gaap/2008		20090531	2	USD	-24139000.0000	
0001104659-09-029605	PaymentsForProceedsFromOtherInvestingActivities	us-gaap/2008		20080331	1	USD	-135000.0000	
0000092380-09-000018	DeferredTaxLiabilitiesNoncurrent	us-gaap/2008		20081231	0	USD	1904000000.0000	
0000891618-09-000150	IncomeLossFromContinuingOperationsPerBasicShare	us-gaap/2008		20090331	1	USD	0.4000	
0001031296-09-000011	TotalOtherExpense	0001031296-09-000011		20090331	1	USD	-177000000.0000	
0001193125-09-100014	IncomeLossFromEquityMethodInvestmentsNetOfDividendsOrDistributions	us-gaap/2008		20090331	1	USD	2100000.0000	
0001002638-09-000023	NetCashProvidedByUsedInFinancingActivities	us-gaap/2008		20090331	3	USD	23486000.0000	
0001031296-09-000011	NetCashProvidedByUsedInFinancingActivities	us-gaap/2008		20090331	1	USD	70000000.0000	
